PartnerID,PartnerName,ContractID,ContractName,ContractType,DocID,DocType,DocNumber,DocDate,DebitCreditRubSum,DebitCreditCurSum,Contract_allowed_debt_period,DelayDays,Currency,agency_factoring,payment_on_sale,ResponsibleByContract_ID,ResponsibleByContract_Code,ResponsibleByContract_Name,ResponsibleByPartnerManagerBinding_ID,ResponsibleByPartnerManagerBinding_Code,ResponsibleByPartnerManagerBinding_Name,ResponsibleByOrder_ID,ResponsibleByOrder_Code,ResponsibleByOrder_Name,ResponsibleByDoc_ID,ResponsibleByDoc_Code,ResponsibleByDoc_Name,ResponsibleByPartner_ID,ResponsibleByPartner_Code,ResponsibleByPartner_Name,ResponsibleByTransport_ID,ResponsibleByTransport_Code,ResponsibleByTransport_Name,ResponsibleDepartment_ID,ResponsibleDepartment_Name,is_offsets,enforcement_proceedings
---------,-----------,----------,------------,------------,-----,-------,---------,-------,-----------------,-----------------,----------------------------,---------,--------,----------------,---------------,------------------------,--------------------------,--------------------------,-------------------------------------,---------------------------------------,---------------------------------------,---------------------,-----------------------,-----------------------,-------------------,---------------------,---------------------,-----------------------,-------------------------,-------------------------,-------------------------,---------------------------,---------------------------,------------------------,--------------------------,----------,-----------------------
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-20D28FA774F5,"Реализация товаров и услуг","РР000009479",2025-04-25 00:00:00.0000000,378404.16,378404.16,45,-3,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-21910C3755D3,"Реализация товаров и услуг","РР000009590",2025-04-26 00:00:00.0000000,121849.80,121849.80,45,-4,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-2198BE2EFBA5,"Реализация товаров и услуг","РР000009614",2025-04-26 00:00:00.0000000,41132.76,41132.76,45,-4,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-257993AAADB3,"Реализация товаров и услуг","РР000010079",2025-05-02 00:00:00.0000000,269999.70,269999.70,45,-10,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-25A0860AA3B1,"Реализация товаров и услуг","РР000010130",2025-05-02 00:00:00.0000000,361259.04,361259.04,45,-10,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-26671B8B0F28,"Реализация товаров и услуг","РР000010205",2025-05-03 00:00:00.0000000,40879.32,40879.32,45,-11,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-2AFAF53CAF07,"Реализация товаров и услуг","РР000010626",2025-05-08 00:00:00.0000000,102670.26,102670.26,45,-17,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-2AFCDE384D8A,"Реализация товаров и услуг","РР000010655",2025-05-10 00:00:00.0000000,105345.48,105345.48,45,-18,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
BFA49DBA-2C01-CD04-11EC-04B8DC5F2802,"Вкусвилл АО",BFA49DBA-2C01-CD04-11EC-04C0F0557567,"Договор поставки № 39/09-2020ВП от 09.09.2020","С покупателем",BFA4B5BA-2C01-CD04-11F0-3215314EADF8,"Реализация товаров и услуг","РР000011123",2025-05-17 00:00:00.0000000,59397.30,59397.30,45,-25,"RUB",0,0,0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",0B8F16BB-DA4E-29E6-41CC-55EFBD30CADA,"ЭА0001768 ","Стручкова Елена Александровна",NULL,NULL,NULL,505097A1-5054-3030-11DA-D4F40C54CCFA,"РР0001474 ","Логачева Елена Александровна",50508DA1-5054-3030-11DA-CB6AA6AFFFDC,"РР0000836 ","Ерпылев Вячеслав Владимирович",NULL,NULL,NULL,NULL,NULL,0,NULL
